Crime Type,Garda Station,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 ,"Enniscrone, Sligo Division",0,0,0,0,0,1,1,0,1,0,2,0,0,1,0
 ,"Gurteen, Leitrim Division",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 ,"Riverstown, Sligo Division",0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
 ,"Tubbercurry, Sligo Division",1,1,0,1,3,1,0,4,2,5,1,2,1,1,7
 ,"Ballinamore, Leitrim Division",1,0,0,0,1,1,0,0,1,1,0,0,0,1,0
 ,"Carrick-On-Shannon, Leitrim Division",3,2,1,5,0,1,11,6,4,4,6,4,4,4,0
 ,"Carrigallen, Leitrim Division",0,2,0,0,5,0,2,1,1,0,1,0,0,0,0
 ,"Drumshambo, Leitrim Division",1,2,0,2,5,2,1,0,2,0,2,6,3,0,1
 ,"Kinlough, Leitrim Division",0,0,0,0,1,0,0,3,1,0,0,0,1,0,0
 ,"Manorhamilton, Leitrim Division",0,1,1,4,3,7,2,4,4,5,1,1,1,1,2
 ,"Mohill, Leitrim Division",0,0,1,0,2,1,5,4,1,2,2,2,1,2,3
 ,"Collooney, Sligo Division",0,1,1,1,1,2,2,0,3,0,2,0,1,1,1
 ,"Coolaney, Sligo Division",0,0,0,0,0,0,0,2,0,0,0,1,0,0,1
 ,"Grange, Sligo Division",0,0,0,1,0,0,0,1,1,2,0,0,0,0,2
 ,"Rosses Point, Sligo Division",0,0,0,0,0,1,0,3,0,2,0,0,0,0,0
 ,"Skreen, Sligo Division",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 ,"Sligo, Sligo Division",16,14,17,34,43,50,29,42,25,23,37,36,27,21,32
 ,"Ardee, Louth Division",4,0,1,0,2,5,3,11,3,1,1,2,2,0,6
 ,"Castlebellingham, Louth Division",0,0,4,1,6,2,3,3,0,1,1,1,0,0,1
 ,"Collon, Louth Division",0,0,0,0,0,1,0,0,1,2,0,0,0,0,0
 ,"Louth, Louth Division",0,1,0,0,0,0,0,1,1,0,0,2,1,0,1
 ,"Clogherhead, Louth Division",1,0,0,0,0,1,2,5,2,1,1,1,0,1,0
 ,"Drogheda, Louth Division",11,12,17,31,38,46,44,44,35,28,44,26,17,25,43
 ,"Dunleer, Louth Division",0,2,1,1,0,4,2,3,2,0,2,1,1,1,1
 ,"Blackrock, Co Louth, Louth Division",0,2,2,2,2,1,1,3,0,1,2,1,2,8,4
 ,"Carlingford, Louth Division",0,1,1,1,1,6,2,0,1,0,0,1,1,1,0
 ,"Drumad, Louth Division",2,1,5,3,4,11,1,8,5,11,1,1,1,2,1
 ,"Dundalk, Louth Division",32,19,31,38,32,61,51,59,46,38,48,41,42,42,45
 ,"Hackballscross, Louth Division",1,0,0,2,0,0,1,1,0,0,1,0,0,0,0
 ,"Omeath, Louth Division",0,1,0,1,0,1,1,1,1,0,0,0,0,0,1
 ,"Crusheen, Clare Division",0,0,0,0,0,0,2,1,2,0,1,0,0,0,0
 ,"Ennis, Clare Division",19,11,18,14,27,34,47,48,19,31,26,37,29,25,16
 ,"Killaloe, Clare Division",2,5,5,5,7,7,5,3,3,1,5,4,0,4,1
 ,"Newmarket on Fergus, Clare Division",1,1,0,0,0,2,0,0,2,1,0,1,0,0,2
 ,"Scariff, Clare Division",2,0,4,1,2,1,2,1,1,0,0,1,1,0,0
 ,"Shannon, Clare Division",3,7,14,6,17,13,10,6,6,7,8,3,6,6,4
 ,"Sixmilebridge, Clare Division",3,3,1,0,4,0,3,3,0,0,0,1,1,0,0
 ,"Tulla, Clare Division",0,1,2,0,2,1,1,2,0,2,2,0,1,0,0
 ,"Ballyvaughan, Clare Division",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 ,"Corofin Co. Clare, Clare Division",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
 ,"Ennistymon, Clare Division",1,2,2,3,1,2,3,5,2,1,3,0,1,3,1
 ,"Kildysart, Clare Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kilkee, Clare Division",2,0,0,2,3,4,5,4,4,2,3,3,2,1,1
 ,"Kilmihil , Clare Division",0,0,0,0,1,1,1,1,1,0,1,0,0,0,0
 ,"Kilrush, Clare Division",8,11,5,6,19,17,7,6,3,10,11,3,10,13,10
 ,"Lisdoonvarna, Clare Division",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 ,"Miltown Malbay, Clare Division",0,3,0,1,0,2,1,3,1,0,0,0,0,1,0
 ,"Ballycroy, Mayo Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Bangor Erris, Mayo Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"BÈal an Mhuirthead, Mayo Division",0,0,4,0,0,0,2,3,1,1,3,1,1,1,0
 ,"Gleann na Muaidhe, Mayo Division",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
 ,"Ballina, Mayo Division",5,3,8,3,12,13,23,19,6,5,2,5,8,2,6
 ,"Bonniconlon, Mayo Division",0,0,0,0,0,0,0,0,2,1,0,1,0,0,0
 ,"Crossmolina, Mayo Division",0,0,1,1,3,0,1,0,1,1,0,1,0,0,0
 ,"Killala, Mayo Division",0,0,0,1,0,1,2,0,2,1,0,0,0,0,0
 ,"Balla, Mayo Division",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 ,"Castlebar, Mayo Division",4,8,7,9,3,10,10,9,5,7,7,6,4,6,6
 ,"Partry, Mayo Division",0,0,0,1,0,1,0,3,1,0,0,0,0,0,0
 ,"Ballindine, Mayo Division",1,4,0,0,1,1,0,0,0,0,0,0,0,0,0
 ,"Ballinrobe, Mayo Division",0,0,4,3,1,0,4,1,0,2,3,0,2,3,2
 ,"Claremorris, Mayo Division",3,1,3,9,1,8,11,6,4,6,3,1,1,0,3
 ,"Cong, Mayo Division",0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
 ,"Kilmaine, Mayo Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 ,"Knock, Mayo Division",1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
 ,"Shrule, Mayo Division",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 ,"Ballyhaunis, Mayo Division",1,0,1,2,3,0,2,2,1,3,1,0,1,0,1
 ,"Charlestown, Mayo Division",2,4,2,0,1,4,1,1,0,3,0,3,1,1,2
 ,"Foxford, Mayo Division",0,0,2,0,0,0,1,2,3,0,0,0,0,1,1
 ,"Kilkelly, Mayo Division",0,0,1,0,0,1,4,0,1,1,0,0,0,0,0
 ,"Kiltimagh, Mayo Division",2,2,0,0,1,0,2,0,9,0,1,1,1,1,0
 ,"Swinford, Mayo Division",0,0,2,0,0,3,1,2,2,0,0,2,0,2,0
 ,"Gob an Choire, Mayo Division",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 ,"Keel, Mayo Division",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
 ,"Louisburgh, Mayo Division",0,0,0,0,1,1,1,0,1,1,0,0,0,0,0
 ,"Newport, Co Mayo, Mayo Division",0,0,1,0,0,0,0,1,1,1,0,2,0,0,2
 ,"Westport, Mayo Division",2,7,3,3,1,2,5,4,3,1,3,3,12,7,8
 ,"Ahascragh, Galway Division",0,0,0,0,0,2,1,0,1,0,2,0,0,0,1
 ,"Ballinasloe, Galway Division",5,6,2,4,8,10,21,21,12,12,15,9,6,10,7
 ,"Ballygar, Galway Division",0,0,1,0,0,1,0,1,0,1,1,0,1,0,0
 ,"Creggs, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kilconnell, Galway Division",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 ,"Kiltormer, Galway Division",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
 ,"Mountbellew, Galway Division",0,0,1,1,1,2,1,0,2,0,0,0,0,0,3
 ,"Moylough, Galway Division",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ,"An Maim, Galway Division",0,0,0,0,1,1,1,2,1,4,1,6,1,0,0
 ,"Carna, Galway Division",0,1,0,0,1,0,0,2,0,0,0,0,0,0,0
 ,"Clifden, Galway Division",1,0,2,2,3,5,5,5,4,1,4,2,1,3,0
 ,"Cloch na Ron, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Letterfrack, Galway Division",0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
 ,"Sraith Salach, Galway Division",0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
 ,"Aran More, Galway Division",2,3,1,1,5,3,0,3,6,2,0,5,2,1,7
 ,"Athenry, Galway Division",0,0,0,1,1,3,2,4,4,2,1,0,1,1,2
 ,"Gaillimh, Galway Division",36,30,31,30,47,39,45,35,31,33,28,27,29,33,31
 ,"Leach Seoirse, Galway Division",0,1,1,1,2,1,0,0,1,1,0,1,0,1,2
 ,"Monivea, Galway Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ardrahan, Galway Division",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Craughwell, Galway Division",1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
 ,"Gort, Galway Division",1,1,1,4,2,2,3,2,3,4,0,2,0,3,4
 ,"Kinvara, Galway Division",1,0,1,1,0,0,0,0,2,0,0,0,0,0,0
 ,"Eyrecourt, Galway Division",1,0,0,0,0,1,4,0,0,1,2,0,0,1,0
 ,"Killimor, Galway Division",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
 ,"Kilrickle, Galway Division",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
 ,"Loughrea, Galway Division",0,2,2,5,4,7,4,4,3,3,1,3,4,3,4
 ,"Portumna, Galway Division",0,0,0,2,0,0,1,0,3,0,0,1,1,2,0
 ,"Woodford, Galway Division",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
 ,"An Cheathru Rua, Galway Division",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
 ,"An Spideal, Galway Division",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
 ,"Bothar Na Tra, Galway Division",5,4,7,3,11,8,13,9,7,7,4,2,1,3,6
 ,"Cill Ronain, Galway Division",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ,"Indreabhain, Galway Division",0,0,0,1,2,0,2,0,1,0,0,0,0,0,0
 ,"Leitir Mor, Galway Division",0,0,0,1,0,2,0,0,0,0,0,0,0,1,0
 ,"Maigh Cuilinn, Galway Division",0,0,0,0,0,0,2,0,1,1,0,0,0,0,0
 ,"Oughterard, Galway Division",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
 ,"Ros Muc, Galway Division",0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
 ,"Barnaderg, Galway Division",1,0,1,0,0,2,0,0,1,0,1,1,0,2,0
 ,"Corofin Co. Galway, Galway Division",0,0,0,0,0,1,2,0,2,0,0,0,0,1,0
 ,"Dunmore, Galway Division",0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
 ,"Glenamaddy, Galway Division",0,0,0,0,1,0,0,1,0,0,0,0,2,1,1
 ,"Headford, Galway Division",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
 ,"Milltown, Galway Division",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
 ,"Tuam, Galway Division",4,2,6,5,2,8,7,6,11,2,2,6,4,6,7
 ,"Williamstown, Galway Division",2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
 ,"Boyle, Roscommon Division",1,2,2,0,3,0,3,2,0,1,0,0,2,0,0
 ,"Elphin, Roscommon Division",0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
 ,"Keadue, Roscommon Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Roosky, Roscommon Division",0,0,2,0,1,1,1,0,0,0,0,0,0,0,1
 ,"Strokestown, Roscommon Division",0,0,0,0,0,0,2,1,0,0,1,1,0,1,0
 ,"Ballaghderreen, Roscommon Division",0,0,2,1,1,2,4,6,5,4,1,4,2,2,1
 ,"Ballinlough, Roscommon Division",1,2,0,1,0,1,1,0,0,2,1,0,1,0,0
 ,"Castlerea, Roscommon Division",0,1,0,2,7,10,10,4,3,1,3,4,3,1,2
 ,"Frenchpark, Roscommon Division",0,1,1,1,0,1,0,1,0,0,0,0,2,0,1
 ,"Tulsk, Roscommon Division",0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
 ,"Drumlish, Longford Division",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
 ,"Edgeworthstown, Longford Division",3,3,0,6,4,2,6,6,5,3,4,1,9,1,5
 ,"Granard, Longford Division",0,0,1,3,0,4,5,0,1,3,2,6,1,0,2
 ,"Smear, Longford Division",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
 ,"Kenagh, Longford Division",0,0,0,0,0,1,0,3,0,0,0,1,0,2,1
 ,"Lanesboro, Longford Division",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
 ,"Longford, Longford Division",6,9,8,22,27,21,22,15,23,13,17,8,14,10,20
 ,"Ballymahon, Longford Division",0,0,0,0,0,0,3,1,1,1,3,3,3,3,1
 ,"Athleague, Roscommon Division",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
 ,"Clonark, Roscommon Division",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
 ,"Roscommon, Roscommon Division",1,4,7,3,7,2,4,2,3,4,1,2,4,8,3
 ,"Taughmaconnell, Roscommon Division",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Mayfield, Cork City Division",9,2,5,8,11,6,16,11,12,13,14,4,5,6,9
 ,"Anglesea Street, Cork City Division",34,36,43,48,32,47,49,37,42,27,22,21,24,29,31
 ,"Blackrock, Co Cork, Cork City Division",11,14,10,7,14,13,6,6,10,3,3,14,1,4,5
 ,"Bridewell Cork, Cork City Division",16,10,21,13,16,29,19,24,24,16,15,16,20,16,24
 ,"Ballincollig, Cork City Division",4,5,9,15,8,9,5,6,1,11,12,9,1,4,6
 ,"Blarney, Cork City Division",4,3,0,2,2,2,6,5,4,3,0,4,6,2,1
 ,"Gurranabraher, Cork City Division",4,22,19,28,43,74,49,64,43,26,52,29,14,16,9
 ,"Watercourse Road, Cork City Division",19,33,12,22,41,35,33,32,25,24,20,25,23,7,19
 ,"Bishopstown, Cork City Division",2,1,0,3,5,6,2,2,5,5,1,0,3,1,3
 ,"Carrigaline, Cork City Division",1,2,10,5,5,3,6,1,2,1,3,0,1,1,1
 ,"Crosshaven, Cork City Division",0,1,0,0,0,3,2,1,1,0,0,2,0,0,0
 ,"Douglas, Cork City Division",5,6,7,4,9,6,7,3,3,5,4,6,5,2,2
 ,"Passage West, Cork City Division",1,0,1,1,1,3,1,1,0,1,1,1,0,0,0
 ,"Togher, Cork City Division",7,7,7,8,12,13,14,3,7,11,11,6,9,7,7
 ,"Carrigtwohill, Cork North Division",0,0,2,2,0,1,2,1,0,0,1,1,0,1,2
 ,"Cobh, Cork North Division",2,4,8,3,7,9,7,4,1,4,4,1,0,4,4
 ,"Glanmire, Cork City Division",1,2,1,2,8,12,19,13,5,4,2,1,1,1,2
 ,"Watergrasshill, Cork North Division",0,0,0,0,0,0,0,0,0,1,0,2,1,0,0
 ,"Ballynoe, Cork North Division",0,0,0,1,1,0,0,0,0,2,0,0,0,0,1
 ,"Castletownroche, Cork North Division",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
 ,"Fermoy, Cork North Division",6,3,4,8,14,6,1,3,7,12,4,3,3,7,2
 ,"Kildorrery, Cork North Division",0,0,0,1,0,0,0,0,1,1,2,1,1,0,0
 ,"Kilworth, Cork North Division",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
 ,"Mitchelstown, Cork North Division",1,2,1,6,4,1,1,1,3,3,4,1,4,4,4
 ,"Rathcormac, Co Cork, Cork North Division",0,0,0,2,4,1,2,0,2,1,6,1,0,1,1
 ,"Buttevant, Cork North Division",0,2,0,1,0,4,4,0,1,0,1,1,2,0,2
 ,"Charleville, Cork North Division",1,1,2,1,10,4,1,10,2,4,4,4,3,3,2
 ,"Doneraile, Cork North Division",0,0,1,0,0,2,2,1,2,1,0,0,0,0,1
 ,"Glantaine, Cork North Division",1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
 ,"Liscarroll, Cork North Division",0,0,0,1,0,0,0,2,0,0,0,1,0,0,0
 ,"Mallow, Cork North Division",5,12,7,12,7,12,16,21,10,12,7,10,8,6,11
 ,"Milford, Co Cork, Cork North Division",0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
 ,"Ballycotton, Cork North Division",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
 ,"Cloyne, Cork North Division",0,0,0,0,0,0,1,1,0,0,2,0,0,2,0
 ,"Killeagh, Cork North Division",0,0,36,0,0,1,2,0,0,0,2,0,0,1,0
 ,"Midleton, Cork North Division",3,2,3,4,3,15,8,5,3,6,2,3,5,5,11
 ,"Whitegate, Cork North Division",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
 ,"Youghal, Cork North Division",0,1,1,4,5,5,2,6,5,8,4,2,2,2,2
 ,"Ballineen, Cork West Division",0,1,0,0,0,2,0,0,1,1,0,0,0,0,0
 ,"Ballinhassig, Cork West Division",0,0,0,0,0,0,4,4,1,0,0,2,1,0,0
 ,"Bandon, Cork West Division",6,3,7,5,9,12,8,5,8,5,6,3,0,3,2
 ,"Innishannon, Cork West Division",1,0,1,0,1,0,3,3,0,0,0,0,0,0,1
 ,"Kilbrittain, Cork West Division",0,0,4,1,0,0,0,0,1,1,0,0,1,0,0
 ,"Kinsale, Cork West Division",7,3,3,2,2,5,5,1,8,1,7,4,1,6,2
 ,"Timoleague, Cork West Division",0,0,0,0,0,0,1,0,2,2,1,0,0,0,0
 ,"Ballydehob, Cork West Division",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
 ,"Bantry, Cork West Division",0,4,1,2,5,8,4,7,2,5,4,4,6,0,2
 ,"Castletownbere, Cork West Division",0,0,4,3,0,0,0,0,1,1,1,0,0,0,1
 ,"Drimoleague, Cork West Division",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
 ,"Durrus, Cork West Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 ,"Glengarriff, Cork West Division",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
 ,"Kealkil, Cork West Division",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
 ,"Schull, Cork West Division",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
 ,"Baltimore, Cork West Division",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Clonakilty, Cork West Division",2,1,2,5,3,3,2,6,4,5,2,0,1,0,3
 ,"Drinagh, Cork West Division",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
 ,"Dunmanway, Cork West Division",3,2,6,3,3,3,2,4,2,2,1,0,1,1,0
 ,"Rosscarbery, Cork West Division",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 ,"Skibbereen, Cork West Division",2,1,1,1,2,4,2,0,3,3,2,1,0,2,3
 ,"Ballydesmond, Cork West Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Boherbue, Cork West Division",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kanturk, Cork North Division",1,7,1,3,4,0,5,1,3,3,2,2,0,1,1
 ,"Millstreet, Co. Cork, Cork West Division",0,1,0,1,1,0,2,2,1,0,1,0,0,0,1
 ,"Newmarket, Cork North Division",0,0,0,3,2,0,2,1,0,1,0,0,1,0,1
 ,"Rathmore, Co Kerry, Cork West Division",0,0,0,1,1,1,0,0,1,2,0,0,0,0,0
 ,"BÈal aÅtha an Ghaorthaidh, Cork West Division",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
 ,"Baile Bhuirne, Cork West Division",0,0,2,0,0,0,0,0,0,0,1,0,1,0,0
 ,"Coachford, Cork West Division",2,1,0,1,0,0,0,1,1,0,1,1,0,0,0
 ,"Crookstown, Cork West Division",1,3,0,0,1,2,1,1,0,1,0,1,1,0,1
 ,"Macroom, Cork West Division",1,1,2,3,6,5,7,3,3,3,4,1,0,1,0
 ,"Stuake, Cork West Division",2,0,0,0,0,5,0,0,0,0,0,0,0,0,2
 ,"Tarelton, Cork West Division",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
 ,"An Coirean, Kerry Division",0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
 ,"Barraduff, Kerry Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Caherciveen, Kerry Division",0,0,0,0,2,5,2,0,3,1,1,0,2,0,3
 ,"Glenbeigh, Kerry Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kenmare, Kerry Division",2,2,0,1,3,1,0,3,0,2,1,0,4,0,2
 ,"Killarney, Kerry Division",3,4,3,5,10,12,14,19,22,12,16,15,11,9,6
 ,"Killorglin, Kerry Division",2,5,1,2,2,7,4,1,3,5,3,6,0,3,2
 ,"Portmagee, Kerry Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Sneem, Kerry Division",0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
 ,"Ballybunion, Kerry Division",0,1,4,2,0,3,2,6,2,3,2,2,0,1,2
 ,"Ballyduff,  Co. Kerry, Kerry Division",0,0,0,1,0,1,0,1,1,0,0,2,1,1,1
 ,"Ballyheigue, Kerry Division",0,1,1,0,1,2,2,2,0,0,0,0,0,1,0
 ,"Knocknagoshel, Kerry Division",1,0,3,0,1,1,0,0,0,1,0,0,0,0,0
 ,"Listowel, Kerry Division",6,4,4,8,10,11,16,7,11,18,5,6,2,5,8
 ,"Lixnaw, Kerry Division",0,0,0,5,0,1,1,1,2,0,1,1,0,0,0
 ,"Tarbert, Kerry Division",0,0,0,0,1,0,0,2,1,1,0,0,1,0,1
 ,"Annascaul, Kerry Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ardfert, Kerry Division",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
 ,"Baile an FheirtÈaraigh, Kerry Division",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 ,"Castlegregory, Kerry Division",0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
 ,"Castleisland, Kerry Division",0,1,3,2,0,0,7,46,2,3,2,3,5,2,1
 ,"Castlemaine, Kerry Division",0,1,0,1,0,3,2,1,0,2,0,0,0,0,0
 ,"Dingle, Kerry Division",0,0,0,0,1,5,1,1,2,1,1,1,0,2,1
 ,"Farranfore, Kerry Division",0,1,0,0,0,0,0,1,0,0,0,2,0,0,0
 ,"Tralee, Kerry Division",8,13,31,32,35,24,38,46,35,27,13,23,27,10,23
 ,"Ballylanders, Limerick Division",0,0,0,0,0,1,0,2,0,1,0,0,0,0,0
 ,"Bruff, Limerick Division",0,0,1,0,2,0,1,2,0,0,0,0,0,0,1
 ,"Bruree, Limerick Division",0,1,0,0,3,3,0,2,0,0,1,0,0,0,1
 ,"Cappamore, Limerick Division",0,2,0,0,2,1,2,0,3,0,1,0,4,0,1
 ,"Hospital Co Limerick, Limerick Division",0,1,2,3,1,1,0,1,0,0,1,0,0,0,1
 ,"Kilmallock, Limerick Division",1,2,1,1,3,9,1,13,4,1,2,4,0,0,2
 ,"Murroe, Limerick Division",0,0,3,0,1,1,2,2,2,1,0,0,0,0,1
 ,"Oola, Limerick Division",1,0,1,0,0,0,0,0,1,1,0,0,0,1,0
 ,"Pallasgreen, Limerick Division",1,0,0,0,2,1,1,0,0,0,0,0,2,1,0
 ,"Ardnacrusha, Limerick Division",2,1,3,4,13,16,4,3,3,3,2,1,2,1,2
 ,"Castleconnell, Limerick Division",0,0,0,2,4,1,3,6,2,4,4,8,3,2,2
 ,"Henry Street, Limerick Division",43,64,67,66,61,69,79,100,85,73,70,71,50,62,45
 ,"Mayorstone Park, Limerick Division",48,57,102,110,116,74,61,59,66,55,53,39,30,15,19
 ,"Abbeyfeale, Limerick Division",2,2,2,4,1,3,9,4,3,0,0,5,5,4,2
 ,"Adare, Limerick Division",1,2,1,0,0,0,0,0,0,0,0,0,0,1,0
 ,"Askeaton, Limerick Division",0,1,1,0,0,1,3,0,3,2,1,0,3,0,4
 ,"Athea, Limerick Division",1,0,0,0,1,1,4,0,1,0,0,0,0,0,0
 ,"Ballingarry, Limerick Division",0,0,0,0,1,1,2,1,2,2,0,0,0,0,0
 ,"Croom, Limerick Division",2,0,1,0,0,2,3,0,3,2,2,0,2,1,0
 ,"Drumcollogher, Limerick Division",0,1,0,1,1,0,2,0,2,1,0,1,0,1,0
 ,"Foynes, Limerick Division",1,0,0,0,1,1,1,0,0,2,1,0,0,1,0
 ,"Glin, Limerick Division",0,0,0,0,0,0,1,0,1,0,0,1,0,0,2
 ,"Newcastle West, Limerick Division",0,5,7,12,8,10,8,5,5,8,10,9,2,5,7
 ,"Pallaskenry, Limerick Division",0,1,2,0,1,0,1,1,1,1,0,0,0,0,1
 ,"Rathkeale, Limerick Division",1,0,0,3,2,8,9,10,2,3,0,1,3,1,2
 ,"Ballyneety, Limerick Division",1,5,0,0,0,2,2,2,3,1,0,0,1,1,0
 ,"Caherconlish, Limerick Division",1,0,2,1,2,1,1,0,0,1,1,0,0,0,0
 ,"Patrickswell, Limerick Division",2,1,3,1,1,0,1,2,3,0,0,0,1,2,2
 ,"Roxboro Road, Limerick Division",42,75,55,69,84,43,49,48,42,51,30,43,33,21,25
 ,"Banagher, Offaly Division",0,0,0,0,0,1,0,2,1,4,2,0,1,2,3
 ,"Birr,  Offaly Division",4,3,4,4,4,10,12,14,6,6,10,2,5,1,2
 ,"Cloghan, Co. Offaly, Offaly Division",0,1,0,1,0,0,7,3,1,1,2,0,0,0,0
 ,"Ferbane, Offaly Division",1,2,0,0,2,2,2,4,0,0,2,0,0,0,1
 ,"Kilcormac, Offaly Division",0,0,1,0,1,1,1,2,2,0,1,0,0,1,2
 ,"Kinnitty, Offaly Division",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
 ,"Shinrone, Offaly Division",0,0,0,1,0,0,1,1,0,2,0,1,0,0,0
 ,"Abbeyleix, Laois Division",2,0,3,3,3,3,2,2,1,0,1,0,0,2,2
 ,"Arles, Laois Division",0,0,1,0,1,1,0,1,0,3,0,0,0,1,0
 ,"Ballylinan, Laois Division",0,0,1,2,1,0,4,2,1,0,1,0,0,0,0
 ,"Borris-In-Ossory, Laois Division",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
 ,"Clonaslee, Laois Division",0,0,0,1,2,1,0,0,1,2,0,0,0,0,0
 ,"Durrow, Laois Division",0,0,1,0,1,1,2,0,0,0,0,0,2,1,0
 ,"Mountmellick, Laois Division",1,0,3,1,10,6,13,7,5,9,3,4,14,10,4
 ,"Mountrath, Laois Division",0,2,0,3,1,1,0,1,4,2,2,1,1,1,3
 ,"Portarlington, Laois Division",0,1,0,4,9,11,13,16,6,6,7,2,9,7,11
 ,"Portlaoise, Laois Division",0,5,2,12,3,15,21,14,14,21,23,18,22,19,30
 ,"Rathdowney, Laois Division",1,0,2,0,1,0,0,1,3,1,0,0,0,0,1
 ,"Stradbally Co Laois, Laois Division",0,1,0,1,1,0,4,3,1,3,3,5,0,0,1
 ,"Clara, Offaly Division",1,2,2,5,9,5,9,5,7,4,4,4,5,10,3
 ,"Clonbologue, Offaly Division",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
 ,"Daingean, Offaly Division",0,1,0,5,1,3,3,1,5,0,0,1,0,0,0
 ,"Edenderry, Offaly Division",6,3,7,5,6,4,3,8,8,5,6,5,9,3,5
