,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Bun na Leaca, Donegal",392,392,392,392,392,392,392,392,441,441,441,441,441,441,441
"Bunratty, Clare",219,219,219,219,219,219,219,219,219,219,219,219,219,219,219
"Bunnyconnelan West, Mayo",150,150,150,150,150,150,150,150,185,185,185,185,185,185,185
"Burnfoot, Donegal",398,398,398,398,398,398,398,398,466,466,466,466,466,466,466
"Butlersbridge, Cavan",182,182,182,182,182,182,182,182,282,282,282,282,282,282,282
"Buttevant, Cork",914,914,914,914,914,914,914,914,945,945,945,945,945,945,945
"Bweeng, Cork",418,418,418,418,418,418,418,418,418,418,418,418,418,418,418
"Cabragh, Monaghan",167,167,167,167,167,167,167,167,159,159,159,159,159,159,159
"Caherconlish, Limerick",700,700,700,700,700,700,700,700,1279,1279,1279,1279,1279,1279,1279
"Cahir, South Tipperary",3381,3381,3381,3381,3381,3381,3381,3381,3578,3578,3578,3578,3578,3578,3578
"Cahirciveen, Kerry",1294,1294,1294,1294,1294,1294,1294,1294,1168,1168,1168,1168,1168,1168,1168
"Callan, Kilkenny",1771,1771,1771,1771,1771,1771,1771,1771,2330,2330,2330,2330,2330,2330,2330
"Calverstown, Kildare",650,650,650,650,650,650,650,650,648,648,648,648,648,648,648
"Camolin, Wexford",390,390,390,390,390,390,390,390,393,393,393,393,393,393,393
"Campile, Wexford",347,347,347,347,347,347,347,347,411,411,411,411,411,411,411
"Cappamore, Limerick",669,669,669,669,669,669,669,669,675,675,675,675,675,675,675
"Cappawhite, South Tipperary",328,328,328,328,328,328,328,328,369,369,369,369,369,369,369
"Cappoquin, Waterford",740,740,740,740,740,740,740,740,759,759,759,759,759,759,759
"Carlanstown, Meath",348,348,348,348,348,348,348,348,631,631,631,631,631,631,631
"Carlingford, Louth",623,623,623,623,623,623,623,623,1045,1045,1045,1045,1045,1045,1045
"Carlow Legal Town, Carlow",13623,13623,13623,13623,13623,13623,13623,13623,13698,13698,13698,13698,13698,13698,13698
"Carlow Environs, Carlow and Laois",7101,7101,7101,7101,7101,7101,7101,7101,9332,9332,9332,9332,9332,9332,9332
"Carndonagh, Donegal",1923,1923,1923,1923,1923,1923,1923,1923,2534,2534,2534,2534,2534,2534,2534
"Carnew, Wicklow",949,949,949,949,949,949,949,949,1091,1091,1091,1091,1091,1091,1091
"Carney, Sligo",219,219,219,219,219,219,219,219,349,349,349,349,349,349,349
"Carragh, Kildare",751,751,751,751,751,751,751,751,882,882,882,882,882,882,882
"Carraig Airt, Donegal",249,249,249,249,249,249,249,249,228,228,228,228,228,228,228
"Carrickmacross Legal Town, Monaghan",1973,1973,1973,1973,1973,1973,1973,1973,1978,1978,1978,1978,1978,1978,1978
"Carrickmacross Environs, Monaghan",2414,2414,2414,2414,2414,2414,2414,2414,2947,2947,2947,2947,2947,2947,2947
